batch_idx,correct,p_adv,time
0,3,0.15542075,0.0025272369384765625
1,9,0.1558373,0.0012409687042236328
2,8,0.15557033,0.0008993148803710938
3,4,0.15426919,0.0009176731109619141
4,8,0.15622352,0.000850677490234375
5,11,0.15562373,0.000827789306640625
6,5,0.15701093,0.0009143352508544922
7,7,0.15547934,0.0009429454803466797
8,3,0.15716952,0.0008416175842285156
9,5,0.15680507,0.0009677410125732422
10,4,0.15478161,0.001070261001586914
11,4,0.15549822,0.0009682178497314453
12,4,0.15630051,0.0009334087371826172
13,9,0.15564916,0.0008018016815185547
14,7,0.1559396,0.0007994174957275391
15,3,0.155382,0.0009474754333496094
16,3,0.15626523,0.0007941722869873047
17,6,0.15580535,0.0008368492126464844
18,7,0.156517,0.0008096694946289062
19,4,0.15790848,0.0010712146759033203
20,5,0.15691897,0.0008895397186279297
21,5,0.1544478,0.0009369850158691406
22,5,0.15792567,0.0008854866027832031
23,5,0.15527058,0.0008604526519775391
24,5,0.15595871,0.0008828639984130859
25,4,0.15527394,0.0008165836334228516
26,7,0.15688524,0.0008168220520019531
27,4,0.15566736,0.0008156299591064453
28,4,0.15650502,0.0008370876312255859
29,8,0.15626277,0.0009160041809082031
30,4,0.15550563,0.0010166168212890625
31,4,0.15464722,0.000980377197265625
32,6,0.15669377,0.0008592605590820312
33,6,0.1564345,0.0009686946868896484
34,6,0.15815774,0.0009531974792480469
35,3,0.1546592,0.0009505748748779297
36,5,0.1557306,0.000774383544921875
37,6,0.15760401,0.0008447170257568359
38,5,0.15638468,0.0009124279022216797
39,3,0.1553057,0.0008008480072021484
40,7,0.1559543,0.0008761882781982422
41,7,0.15641996,0.0010409355163574219
42,10,0.15540704,0.0008256435394287109
43,5,0.15626845,0.0007750988006591797
44,6,0.15574884,0.0010235309600830078
45,1,0.15656996,0.000858306884765625
46,4,0.15473405,0.0015342235565185547
47,8,0.1566782,0.0009377002716064453
48,1,0.15384594,0.0009477138519287109
49,4,0.15772733,0.0009210109710693359
50,5,0.1559166,0.0008952617645263672
51,6,0.15685733,0.0009493827819824219
52,6,0.15548071,0.0009059906005859375
53,7,0.15477186,0.0009603500366210938
54,6,0.15713766,0.0008230209350585938
55,6,0.15677077,0.0008051395416259766
56,7,0.15569839,0.0007774829864501953
57,6,0.15704826,0.0008521080017089844
58,5,0.15598737,0.0007889270782470703
59,11,0.15643921,0.0008265972137451172
60,10,0.15798323,0.0007925033569335938
61,8,0.156706,0.0009243488311767578
62,5,0.15444468,0.0008380413055419922
63,8,0.15688685,0.0009670257568359375
64,8,0.15778115,0.0009665489196777344
65,7,0.15425849,0.0009038448333740234
66,8,0.15723777,0.0010409355163574219
67,5,0.15672807,0.0009253025054931641
68,4,0.15833461,0.0008349418640136719
69,5,0.15640904,0.0009169578552246094
70,9,0.15533659,0.000982046127319336
71,4,0.15393925,0.0008687973022460938
72,9,0.1571278,0.0008618831634521484
73,5,0.15514183,0.0009710788726806641
74,8,0.15630165,0.0008251667022705078
75,2,0.1568467,0.0009181499481201172
76,2,0.15585831,0.0010323524475097656
77,6,0.15681428,0.0011043548583984375
78,14,0.15752694,0.0008349418640136719
79,7,0.15634654,0.0008831024169921875
80,10,0.15761608,0.0010521411895751953
81,4,0.15502626,0.001188516616821289
82,7,0.15755306,0.0011622905731201172
83,11,0.15560004,0.0011525154113769531
84,13,0.15883034,0.0008957386016845703
85,23,0.158344,0.0009362697601318359
86,18,0.15597668,0.0009558200836181641
87,8,0.15605274,0.0009942054748535156
88,8,0.15668806,0.0009462833404541016
89,5,0.15661792,0.0008420944213867188
90,13,0.15702675,0.0009884834289550781
91,4,0.15828171,0.0010869503021240234
92,8,0.15551755,0.0010399818420410156
93,5,0.1559071,0.0012323856353759766
94,4,0.15379249,0.0013127326965332031
95,23,0.1553137,0.0010797977447509766
96,15,0.15691373,0.0009245872497558594
97,7,0.15627062,0.0009100437164306641
98,15,0.15769508,0.0010399818420410156
99,12,0.15721354,0.001007080078125
100,14,0.15772797,0.0009355545043945312
101,15,0.1577993,0.0008869171142578125
102,1,0.157947,0.0008311271667480469
103,1,0.15774596,0.001384735107421875
104,5,0.15621966,0.0011165142059326172
105,17,0.15486012,0.0009565353393554688
106,11,0.15698045,0.0010652542114257812
107,7,0.15586089,0.0008919239044189453
108,17,0.15583777,0.000997304916381836
109,13,0.15540236,0.0009167194366455078
110,16,0.1571504,0.0010440349578857422
111,17,0.15647945,0.0010123252868652344
112,8,0.15759507,0.0009224414825439453
113,11,0.15760683,0.0008652210235595703
114,13,0.15547332,0.0009183883666992188
115,11,0.15535764,0.0009093284606933594
116,5,0.15594697,0.000995635986328125
117,10,0.15751652,0.0010242462158203125
118,13,0.15640256,0.001127481460571289
119,10,0.15494382,0.0013549327850341797
120,12,0.15736094,0.0009295940399169922
121,15,0.15589342,0.0009949207305908203
122,16,0.15555423,0.0008502006530761719
123,13,0.15518455,0.00095367431640625
124,11,0.15512437,0.0009198188781738281
125,14,0.15607601,0.0012671947479248047
126,13,0.15459448,0.0010638236999511719
127,9,0.15698573,0.001222372055053711
128,7,0.15891933,0.000949859619140625
129,5,0.15666679,0.0010318756103515625
130,6,0.15659548,0.0008592605590820312
131,6,0.15666193,0.0009851455688476562
132,14,0.1551157,0.0008785724639892578
133,8,0.15469053,0.0009987354278564453
134,8,0.15782622,0.0009953975677490234
135,9,0.15724927,0.0010352134704589844
136,19,0.15687662,0.0010905265808105469
137,18,0.1570755,0.0010497570037841797
138,15,0.15637533,0.0010714530944824219
139,17,0.1582919,0.000865936279296875
140,12,0.15695804,0.000993967056274414
141,12,0.15579686,0.0008020401000976562
142,16,0.15820175,0.0008485317230224609
143,22,0.15666804,0.000812530517578125
144,12,0.1568839,0.0007987022399902344
145,6,0.1571471,0.0008020401000976562
146,12,0.15632635,0.0009288787841796875
147,15,0.15621053,0.0008819103240966797
148,6,0.15512767,0.0008907318115234375
149,16,0.15464348,0.0007829666137695312
150,4,0.15748999,0.0009596347808837891
151,4,0.1577863,0.0007927417755126953
152,5,0.15674493,0.0008814334869384766
153,6,0.15578371,0.0008342266082763672
154,5,0.15592435,0.0009036064147949219
155,7,0.15711926,0.0007853507995605469
156,3,0.1535741,0.0008387565612792969
